,TV Ad Budget,Radio Ad Budget,Newspaper Ad Budget,Sales
0,230.1,37.8,69.2,1105.0
1,44.5,39.3,45.1,520.0
2,17.2,45.9,69.3,465.00000000000006
3,151.5,41.3,58.5,925.0
4,180.8,10.8,58.4,645.0
5,8.7,48.9,75.0,360.0
6,57.5,32.8,23.5,590.0
7,120.2,19.6,11.6,660.0
8,8.6,2.1,1.0,240.0
9,199.8,2.6,21.2,530.0
10,66.1,5.8,24.2,430.0
11,214.7,24.0,4.0,869.9999999999999
12,23.8,35.1,65.9,460.0
13,97.5,7.6,7.2,485.0
14,204.1,32.9,46.0,950.0
15,195.4,47.7,52.9,1120.0
16,67.8,36.6,114.0,625.0
17,281.4,39.6,55.8,1220.0
18,69.2,20.5,18.3,565.0
19,147.3,23.9,19.1,730.0
20,218.4,27.7,53.4,900.0
21,237.4,5.1,23.5,625.0
22,13.2,15.9,49.6,280.0
23,228.3,16.9,26.2,775.0
24,62.3,12.6,18.3,485.0
25,262.9,3.5,19.5,600.0
26,142.9,29.3,12.6,750.0
27,240.1,16.7,22.9,795.0
28,248.8,27.1,22.9,945.0
29,70.6,16.0,40.8,525.0
30,292.9,28.3,43.2,1070.0
31,112.9,17.4,38.6,595.0
32,97.2,1.5,30.0,480.0
33,265.6,20.0,0.3,869.9999999999999
34,95.7,1.4,7.4,475.0
35,290.7,4.1,8.5,640.0
36,266.9,43.8,5.0,1270.0
37,74.7,49.4,45.7,735.0
38,43.1,26.7,35.1,505.0
39,228.0,37.7,32.0,1075.0
40,202.5,22.3,31.6,830.0000000000001
41,177.0,33.4,38.7,855.0000000000001
42,293.6,27.7,1.8,1035.0
43,206.9,8.4,26.4,645.0
44,25.1,25.7,43.3,425.0
45,175.1,22.5,31.5,745.0
46,89.7,9.9,35.7,530.0
47,239.9,41.5,18.5,1160.0
48,227.2,15.8,49.9,740.0
49,66.9,11.7,36.8,485.0
50,199.8,3.1,34.6,570.0
51,100.4,9.6,3.6,535.0
52,216.4,41.7,39.6,1130.0
53,182.6,46.2,58.7,1060.0
54,262.7,28.8,15.9,1010.0
55,198.9,49.4,60.0,1185.0
56,7.3,28.1,41.4,275.0
57,136.2,19.2,16.6,660.0
58,210.8,49.6,37.7,1190.0
59,210.7,29.5,9.3,920.0
60,53.5,2.0,21.4,405.0
61,261.3,42.7,54.7,1210.0
62,239.3,15.5,27.3,785.0
63,102.7,29.6,8.4,700.0
64,131.1,42.8,28.9,900.0
65,69.0,9.3,0.9,465.00000000000006
66,31.5,24.6,2.2,475.0
67,139.3,14.5,10.2,670.0
68,237.4,27.5,11.0,945.0
69,216.8,43.9,27.2,1115.0
70,199.1,30.6,38.7,915.0
71,109.8,14.3,31.7,620.0
72,26.8,33.0,19.3,440.00000000000006
73,129.4,5.7,31.3,550.0
74,213.4,24.6,13.1,850.0
75,16.9,43.7,89.4,435.0
76,27.5,1.6,20.7,345.0
77,120.5,28.5,14.2,710.0
78,5.4,29.9,9.4,265.0
79,116.0,7.7,23.1,550.0
80,76.4,26.7,22.3,590.0
81,239.8,4.1,36.9,615.0
82,75.3,20.3,32.5,565.0
83,68.4,44.5,35.6,680.0
84,213.5,43.0,33.8,1085.0
85,193.2,18.4,65.7,760.0
86,76.3,27.5,16.0,600.0
87,110.7,40.6,63.2,800.0
88,88.3,25.5,73.4,645.0
89,109.8,47.8,51.4,835.0
90,134.3,4.9,9.3,560.0
91,28.6,1.5,33.0,365.0
92,217.7,33.5,59.0,970.0
93,250.9,36.5,72.3,1110.0
94,107.4,14.0,10.9,575.0
95,163.3,31.6,52.9,844.9999999999999
96,197.6,3.5,5.9,585.0
97,184.9,21.0,22.0,775.0
98,289.7,42.3,51.2,1270.0
99,135.2,41.7,45.9,860.0
100,222.4,4.3,49.8,585.0
101,296.4,36.3,100.9,1190.0
102,280.2,10.1,21.4,740.0
103,187.9,17.2,17.9,735.0
104,238.2,34.3,5.3,1035.0
105,137.9,46.4,59.0,960.0
106,25.0,11.0,29.7,360.0
107,90.4,0.3,23.2,435.0
108,13.1,0.4,25.6,265.0
109,255.4,26.9,5.5,990.0
110,225.8,8.2,56.5,670.0
111,241.7,38.0,23.2,1090.0
112,175.7,15.4,2.4,705.0
113,209.6,20.6,10.7,795.0
114,78.2,46.8,34.5,730.0
115,75.1,35.0,52.7,630.0
116,139.2,14.3,25.6,610.0
117,76.4,0.8,14.8,470.0
118,125.7,36.9,79.2,795.0
119,19.4,16.0,22.3,330.0
120,141.3,26.8,46.2,775.0
121,18.8,21.7,50.4,350.0
122,224.0,2.4,15.6,580.0
123,123.1,34.6,12.4,760.0
124,229.5,32.3,74.2,985.0
125,87.2,11.8,25.9,530.0
126,7.8,38.9,50.6,330.0
127,80.2,0.0,9.2,440.00000000000006
128,220.3,49.0,3.2,1235.0
129,59.6,12.0,43.1,485.0
130,0.7,39.6,8.7,80.0
131,265.2,2.9,43.0,635.0
132,8.4,27.2,2.1,285.0
133,219.8,33.5,45.1,980.0
134,36.9,38.6,65.6,540.0
135,48.3,47.0,8.5,580.0
136,25.6,39.0,9.3,475.0
137,273.7,28.9,59.7,1040.0
138,43.0,25.9,20.5,480.0
139,184.9,43.9,1.7,1035.0
140,73.4,17.0,12.9,545.0
