Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
01/12/2017,204,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,930,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes
01/12/2017,426,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,262,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,167,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,70,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,334,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,606,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,618,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,572,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,Winter,No Holiday,Yes
02/12/2017,489,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,422,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes
03/12/2017,303,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,311,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,391,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,Winter,No Holiday,Yes
04/12/2017,568,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,42,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes
05/12/2017,321,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes
06/12/2017,145,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,Winter,No Holiday,Yes
06/12/2017,379,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,Winter,No Holiday,Yes
06/12/2017,802,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,Winter,No Holiday,Yes
06/12/2017,204,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,Winter,No Holiday,Yes
06/12/2017,190,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,Winter,No Holiday,Yes
06/12/2017,222,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes
07/12/2017,754,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,Winter,No Holiday,Yes
07/12/2017,333,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,Winter,No Holiday,Yes
07/12/2017,431,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,Winter,No Holiday,Yes
08/12/2017,99,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,387,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,752,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes
08/12/2017,275,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,267,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,127,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,384,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes
09/12/2017,321,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,169,3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,9,6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,Winter,No Holiday,Yes
10/12/2017,20,7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,Winter,No Holiday,Yes
10/12/2017,35,8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,Winter,No Holiday,Yes
10/12/2017,181,19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,165,20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
10/12/2017,148,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,67,2,-4.2,35,3.4,2000,-17.4,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,325,7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,247,12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,253,14,-5.4,31,4.1,1945,-19.9,1.13,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,269,15,-5.5,33,4.5,2000,-19.2,0.92,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,361,17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,Winter,No Holiday,Yes
11/12/2017,371,19,-8.6,45,3.9,2000,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes
12/12/2017,95,2,-11.5,50,0.7,2000,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes
12/12/2017,46,4,-11.6,47,2.1,1982,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes
12/12/2017,65,5,-11.6,45,2.8,1951,-21.1,0.0,0.0,0.0,Winter,No Holiday,Yes
12/12/2017,225,13,-6.9,37,2.4,1955,-19.1,1.22,0.0,0.0,Winter,No Holiday,Yes
12/12/2017,258,14,-5.4,32,2.0,1930,-19.5,1.12,0.0,0.0,Winter,No Holiday,Yes
12/12/2017,350,19,-8.2,43,1.1,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes
12/12/2017,260,20,-8.4,42,1.0,2000,-19.0,0.0,0.0,0.0,Winter,No Holiday,Yes
12/12/2017,173,23,-9.3,47,2.1,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes
13/12/2017,183,1,-10.2,52,1.6,1997,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes
13/12/2017,79,3,-10.9,55,1.8,1913,-18.1,0.0,0.0,0.0,Winter,No Holiday,Yes
13/12/2017,109,6,-11.9,57,1.1,1974,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes
13/12/2017,340,9,-11.1,46,3.4,1981,-20.4,0.1,0.0,0.0,Winter,No Holiday,Yes
14/12/2017,108,6,-11.0,55,0.8,1541,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes
14/12/2017,279,7,-10.9,57,1.1,1387,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
