station_id,fecha_hora,temp_promedio_aire,precipitacion_horaria,humed_rel_promedio,temp_minima,temp_maxima
114,2023-10-03T00:00:00Z,8.6,0,89,8.5,8.7
114,2023-10-03T01:00:00Z,8.4,0,91,8.3,8.5
114,2023-10-03T02:00:00Z,7.9,0,91.3,7.7,8.1
114,2023-10-03T03:00:00Z,7,0,91.5,6.7,7.4
114,2023-10-03T04:00:00Z,7,0,93.8,6.7,7.3
114,2023-10-03T05:00:00Z,8.1,0,95,7.7,8.6
114,2023-10-03T06:00:00Z,8.8,0,94.3,8.8,8.8
114,2023-10-03T07:00:00Z,8.5,0,94.8,8.4,8.7
114,2023-10-03T08:00:00Z,8.4,0,95,8.4,8.5
114,2023-10-03T09:00:00Z,8.7,0,95,8.6,8.9
114,2023-10-03T10:00:00Z,9.7,0,91.8,9.6,9.9
114,2023-10-03T11:00:00Z,10.4,0,89,9.8,11.3
114,2023-10-03T12:00:00Z,12.6,0,82.5,12.1,13
114,2023-10-03T13:00:00Z,14,0,78.2,13.4,14.8
114,2023-10-03T14:00:00Z,15.6,0,72.5,15.3,15.9
114,2023-10-03T15:00:00Z,16.4,0,66.2,15.9,16.8
114,2023-10-03T16:00:00Z,17.1,0,59.8,16.8,17.3
114,2023-10-03T17:00:00Z,15.1,0,71.8,14.1,16.7
114,2023-10-03T18:00:00Z,13.8,0,80.8,13.6,13.9
114,2023-10-03T19:00:00Z,13.6,0,82.8,13.5,13.6
114,2023-10-03T20:00:00Z,12.9,0,83.2,12.5,13.3
114,2023-10-03T21:00:00Z,11.8,0,84.3,11.4,12.2
114,2023-10-03T22:00:00Z,10,0,86.2,9.3,10.7
114,2023-10-03T23:00:00Z,8.3,0,89,8.1,8.6
114,2023-10-04T00:00:00Z,7.7,0,90.3,7.5,7.9
114,2023-10-04T01:00:00Z,7.5,0,92,7.5,7.5
314,2023-10-03T00:00:00Z,7.7,0,100,7.6,7.8
314,2023-10-03T01:00:00Z,7.2,0,99.9,7,7.4
314,2023-10-03T02:00:00Z,6.9,0,99.9,6.6,7.1
314,2023-10-03T03:00:00Z,6.2,0,99.9,6.2,6.2
314,2023-10-03T04:00:00Z,7.2,0,99.9,6.7,7.5
314,2023-10-03T05:00:00Z,7.7,0,99.9,7.6,7.9
314,2023-10-03T06:00:00Z,7.8,0,99.9,7.8,7.9
314,2023-10-03T07:00:00Z,7.7,0,99.9,7.7,7.7
314,2023-10-03T08:00:00Z,7.9,0,99.9,7.8,8.1
314,2023-10-03T09:00:00Z,8.1,0,100,8,8.2
314,2023-10-03T10:00:00Z,8.7,0,99.9,8.4,9.1
314,2023-10-03T11:00:00Z,10.2,0,97.8,9.5,10.9
314,2023-10-03T12:00:00Z,12,0,78.7,11.1,12.8
314,2023-10-03T13:00:00Z,14.1,0,68.9,13.8,14.3
314,2023-10-03T14:00:00Z,15.1,0,59.2,14.8,15.3
314,2023-10-03T15:00:00Z,16.1,0,52.8,15.6,16.4
314,2023-10-03T16:00:00Z,14.4,0,64.6,13.3,15.6
314,2023-10-03T17:00:00Z,13.3,0,66.4,13.1,13.4
314,2023-10-03T18:00:00Z,12.6,0,71.6,12.2,12.9
314,2023-10-03T19:00:00Z,11.5,0,78.5,11,11.9
314,2023-10-03T20:00:00Z,10.4,0,81.2,10,10.8
314,2023-10-03T21:00:00Z,9.1,0,84.6,8.9,9.6
314,2023-10-03T22:00:00Z,8.3,0,85.3,8,8.6
314,2023-10-03T23:00:00Z,7.9,0,87.1,7.8,8.1
314,2023-10-04T00:00:00Z,7.3,0,94.7,7.1,7.6
314,2023-10-04T01:00:00Z,6.7,0,99.8,6.4,7
314,2023-10-04T02:00:00Z,6.1,0,99.9,5.9,6.3
314,2023-10-04T03:00:00Z,6,0,99.9,5.9,6.1
314,2023-10-04T04:00:00Z,5.7,0,99.9,5.5,5.9
314,2023-10-04T05:00:00Z,5.4,0,99.9,5.2,5.5
314,2023-10-04T06:00:00Z,5,0,99.9,4.9,5
314,2023-10-04T07:00:00Z,5.4,0,100,5.1,5.8
314,2023-10-04T08:00:00Z,6.8,0,99.4,6.1,7.5
